,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,Multiple,act8,W0N0,,0.58389,0.31819,0.31840,0.08216,0.08221,,,,,,,,,,,15,18.35,0.73026,0.18855,
,Multiple,act8,W0N1,,0.36918,0.37253,0.37278,0.08781,0.08787,,,,,,,,,,,18,18.96,1.35224,0.31873,
,Multiple,act8,W1N0,,0.65507,0.43510,0.43522,0.13119,0.13122,,,,,,,,,,,11,18.19,0.89006,0.26836,
,Multiple,act8,W1N1,,1.00000,0.35937,0.35937,0.08470,0.08470,,,,,,,,,,,18,17.63,0.48157,0.11351,
,10-bor5,bor5,W0N0,,0.33711,0.10979,0.11083,0.04482,0.04524,0.49306,0.23187,0.23293,0.09466,0.09509,0.49306,0.23187,0.23293,0.09466,0.09509,6,32.93,0.48185,0.19672,
,10-bor5,bor5,W0N1,,0.18361,0.15129,0.15184,0.06176,0.06199,0.44078,0.48997,0.49094,0.20003,0.20043,0.44078,0.48997,0.49094,0.20003,0.20043,6,33.83,1.21914,0.49771,
,10-bor5,bor5,W1N0,,1.00000,0.55649,0.55649,0.27824,0.27824,1.44232,1.20372,1.20372,0.60186,0.60186,1.44232,1.20372,1.20372,0.60186,0.60186,4,31.33,0.82335,0.41167,
,10-bor5,bor5,W1N1,,0.22262,0.11884,0.11964,0.04852,0.04884,0.22262,0.13443,0.13514,0.05488,0.05517,0.22262,0.13443,0.13514,0.05488,0.05517,6,33.55,0.78982,0.32244,
,Multiple,cepd2,W0N0,,0.39934,0.77495,0.77534,0.25832,0.25845,0.58409,1.15065,1.15121,0.38355,0.38374,0.58409,1.15065,1.15121,0.38355,0.38374,9,31.34,3.18258,1.06086,
,Multiple,cepd2,W0N1,,0.01317,0.01097,0.01161,0.00366,0.00387,0.03161,0.03535,0.03652,0.01178,0.01217,0.03161,0.03535,0.03652,0.01178,0.01217,9,36.93,1.36607,0.45536,
,Multiple,cepd2,W1N0,,1.00000,2.97192,2.97192,0.89607,0.89607,1.44232,4.37931,4.37931,1.32041,1.32041,1.44232,4.37931,4.37931,1.32041,1.32041,11,29.83,4.87399,1.46956,
,Multiple,cepd2,W1N1,,0.01977,0.03006,0.03051,0.01136,0.01153,0.01977,0.03058,0.03102,0.01156,0.01172,0.01977,0.03058,0.03102,0.01156,0.01172,7,36.26,2.49430,0.94276,
,2-cer1,cer1,W0N0,,0.17843,0.04437,0.04510,0.01984,0.02017,0.26098,0.10977,0.11040,0.04909,0.04937,0.26098,0.10977,0.11040,0.04909,0.04937,5,25.72,0.37643,0.16835,
,2-cer1,cer1,W0N1,,1.00000,0.46490,0.46490,0.18980,0.18980,2.40065,2.11042,2.11042,0.86158,0.86158,2.40065,2.11042,2.11042,0.86158,0.86158,6,23.12,0.70382,0.28733,
,2-cer1,cer1,W1N0,,0.05615,0.04630,0.04649,0.01890,0.01898,0.08098,0.08364,0.08387,0.03415,0.03424,0.08098,0.08364,0.08387,0.03415,0.03424,6,27.47,1.24831,0.50962,
,2-cer1,cer1,W1N1,,0.58896,0.18058,0.18076,0.07372,0.07380,0.58896,0.24546,0.24560,0.10021,0.10026,0.58896,0.24546,0.24560,0.10021,0.10026,6,23.92,0.46417,0.18950,
,9-gapd,gapd,W0N0,,0.80057,0.32359,0.32361,0.13210,0.13211,,,,,,,,,,,6,16.44,0.53674,0.21912,
,9-gapd,gapd,W0N1,,0.47001,0.51669,0.51675,0.21094,0.21096,,,,,,,,,,,6,17.14,1.45981,0.59597,
,9-gapd,gapd,W1N0,,0.73382,0.77179,0.77181,0.38590,0.38591,,,,,,,,,,,4,16.55,1.39665,0.69833,
,9-gapd,gapd,W1N1,,1.00000,0.43546,0.43546,0.17778,0.17778,,,,,,,,,,,6,16.14,0.57826,0.23607,
,4-nit4,nit4,W0N0,,0.17389,0.04647,0.04723,0.02324,0.02361,0.25434,0.10984,0.11053,0.05492,0.05526,0.25434,0.10984,0.11053,0.05492,0.05526,4,26.64,0.41724,0.20862,
,4-nit4,nit4,W0N1,,0.02735,0.03669,0.03680,0.01498,0.01502,0.06565,0.10079,0.10100,0.04115,0.04124,0.06565,0.10079,0.10100,0.04115,0.04124,6,29.53,2.09492,0.85525,
