,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,Multiple,act8,W0N0,,0.33114,0.33596,0.33603,0.05679,0.05680,,,,,,,,,,,35,22.88,1.35594,0.22920,
,Multiple,act8,W0N1,,1.00000,0.79739,0.79739,0.13478,0.13478,,,,,,,,,,,35,21.40,1.06570,0.18014,
,Multiple,act8,W1N0,,0.71357,0.58739,0.58740,0.09790,0.09790,,,,,,,,,,,36,21.86,1.10016,0.18336,
,Multiple,act8,W1N1,,0.57601,0.55349,0.55352,0.09225,0.09225,,,,,,,,,,,36,22.14,1.28424,0.21404,
,6-bor5,bor5,W0N0,,1.00000,1.00694,1.00694,0.41108,0.41108,2.87265,3.58431,3.58431,1.46329,1.46329,2.87265,3.58431,3.58431,1.46329,1.46329,6,30.43,1.27648,0.52112,
,6-bor5,bor5,W0N1,,0.54467,0.04967,0.05036,0.03512,0.03561,0.62353,0.32549,0.32563,0.23016,0.23026,0.62353,0.32549,0.32563,0.23016,0.23026,2,31.20,0.11560,0.08174,
,6-bor5,bor5,W1N0,,0.74486,1.46901,1.46902,0.59972,0.59972,0.88178,1.79460,1.79461,0.73264,0.73265,0.88178,1.79460,1.79461,0.73264,0.73265,6,30.80,2.50009,1.02066,
,6-bor5,bor5,W1N1,,0.02409,0.02564,0.02574,0.01480,0.01486,0.03383,0.04005,0.04018,0.02312,0.02320,0.03383,0.04005,0.04018,0.02312,0.02320,3,35.15,1.34905,0.77887,
,5-cepd2,cepd2,W0N0,,0.42091,0.64048,0.64048,0.26148,0.26148,1.20912,2.04423,2.04423,0.83455,0.83455,1.20912,2.04423,2.04423,0.83455,0.83455,6,26.99,2.14920,0.87741,
,5-cepd2,cepd2,W0N1,,0.00804,0.01014,0.01014,0.00585,0.00585,0.00920,0.01253,0.01254,0.00724,0.00724,0.00920,0.01253,0.01254,0.00724,0.00724,3,32.59,1.78234,1.02904,
,5-cepd2,cepd2,W1N0,,1.00000,0.94522,0.94522,0.38589,0.38589,1.18381,1.26727,1.26727,0.51736,0.51736,1.18381,1.26727,1.26727,0.51736,0.51736,6,25.77,1.33502,0.54502,
,5-cepd2,cepd2,W1N1,,0.00120,0.00285,0.00285,0.00116,0.00116,0.00168,0.00410,0.00410,0.00167,0.00167,0.00168,0.00410,0.00410,0.00167,0.00167,6,35.28,3.36471,1.37364,
,5-cer1,cer1,W0N0,,1.00000,0.64172,0.64172,0.26198,0.26198,2.87265,2.80685,2.80685,1.14589,1.14589,2.87265,2.80685,2.80685,1.14589,1.14589,6,23.27,0.84594,0.34535,
,5-cer1,cer1,W0N1,,0.98137,0.47298,0.47298,0.19309,0.19309,1.12345,0.79159,0.79159,0.32316,0.32316,1.12345,0.79159,0.79159,0.32316,0.32316,6,23.29,0.63534,0.25938,
,5-cer1,cer1,W1N0,,0.53337,0.26317,0.26318,0.10744,0.10744,0.63142,0.44468,0.44469,0.18154,0.18154,0.63142,0.44468,0.44469,0.18154,0.18154,6,24.10,0.65043,0.26554,
,5-cer1,cer1,W1N1,,0.30715,0.20790,0.20792,0.08488,0.08488,0.43122,0.36786,0.36787,0.15018,0.15018,0.43122,0.36786,0.36787,0.15018,0.15018,6,24.82,0.89230,0.36428,
,12-gapd,gapd,W0N0,,0.36595,0.39112,0.39118,0.15967,0.15970,,,,,,,,,,,6,19.09,1.53607,0.62710,
,12-gapd,gapd,W0N1,,0.76306,0.49506,0.49507,0.20211,0.20211,,,,,,,,,,,6,18.04,0.93244,0.38067,
,12-gapd,gapd,W1N0,,1.00000,0.57665,0.57665,0.23541,0.23541,,,,,,,,,,,6,17.65,0.82876,0.33834,
,12-gapd,gapd,W1N1,,0.88076,0.34648,0.34649,0.14145,0.14145,,,,,,,,,,,6,17.83,0.56539,0.23082,
,7-SYBR,hho3,W0N0,,0.86162,0.91613,0.91616,0.37401,0.37402,2.47514,3.20188,3.20194,1.30716,1.30719,2.47514,3.20188,3.20194,1.30716,1.30719,6,23.60,1.05231,0.42960,
,7-SYBR,hho3,W0N1,,1.00000,0.53943,0.53943,0.26971,0.26971,1.14478,0.85297,0.85297,0.42648,0.42648,1.14478,0.85297,0.85297,0.42648,0.42648,4,23.45,0.53387,0.26693,
,7-SYBR,hho3,W1N0,,0.23100,0.32154,0.32204,0.13127,0.13147,0.27346,0.40468,0.40524,0.16521,0.16544,0.27346,0.40468,0.40524,0.16521,0.16544,6,24.90,1.37759,0.56240,
,7-SYBR,hho3,W1N1,,0.48065,0.70074,0.70099,0.24775,0.24784,0.67481,1.04434,1.04467,0.36923,0.36934,0.67481,1.04434,1.04467,0.36923,0.36934,8,24.18,1.44289,0.51014,
,8-nit4,nit4,W0N0,,0.20574,0.08217,0.08232,0.03355,0.03361,0.59103,0.49535,0.49555,0.20222,0.20231,0.59103,0.49535,0.49555,0.20222,0.20231,6,26.74,0.58424,0.23852,
,8-nit4,nit4,W0N1,,0.35288,0.13368,0.13380,0.05458,0.05462,0.40397,0.25794,0.25802,0.10530,0.10534,0.40397,0.25794,0.25802,0.10530,0.10534,6,25.95,0.55416,0.22624,
,8-nit4,nit4,W1N0,,1.00000,1.19133,1.19133,0.48636,0.48636,1.18381,1.53064,1.53064,0.62488,0.62488,1.18381,1.53064,1.53064,0.62488,0.62488,6,24.43,1.74265,0.71143,
