,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,Multiple,act8,W0N0,,1.00000,0.23272,0.23272,0.08228,0.08228,,,,,,,,,,,8,18.05,0.30472,0.10774,
,Multiple,act8,W0N1,,0.52913,0.24117,0.24137,0.06962,0.06968,,,,,,,,,,,12,18.89,0.59682,0.17229,
,Multiple,act8,W1N0,,0.34719,0.11801,0.11850,0.03407,0.03421,,,,,,,,,,,12,19.44,0.44507,0.12848,
,Multiple,act8,W1N1,,0.64801,0.13751,0.13776,0.03970,0.03977,,,,,,,,,,,12,18.62,0.27786,0.08021,
,2-cepd2,cepd2,W0N0,,1.00000,0.30056,0.30056,0.15028,0.15028,1.00000,0.34904,0.34904,0.17452,0.17452,1.00000,0.34904,0.34904,0.17452,0.17452,4,26.08,0.48532,0.24266,
,2-cepd2,cepd2,W0N1,,0.35003,0.22047,0.22062,0.09001,0.09007,0.65393,0.47412,0.47437,0.19356,0.19366,0.65393,0.47412,0.47437,0.19356,0.19366,6,27.77,1.01707,0.41522,
,2-cepd2,cepd2,W1N0,,0.76046,0.51144,0.51146,0.20879,0.20880,2.05872,1.44330,1.44335,0.58922,0.58925,2.05872,1.44330,1.44335,0.58922,0.58925,6,26.52,1.08597,0.44335,
,2-cepd2,cepd2,W1N1,,0.63745,0.38970,0.38976,0.15910,0.15912,1.10789,0.68888,0.68897,0.28123,0.28127,1.10789,0.68888,0.68897,0.28123,0.28127,6,26.80,0.98717,0.40301,
,5-cer1,cer1,W0N0,,1.00000,0.41486,0.41486,0.20743,0.20743,1.00000,0.45122,0.45122,0.22561,0.22561,1.00000,0.45122,0.45122,0.22561,0.22561,4,23.27,0.59321,0.29660,
,5-cer1,cer1,W0N1,,0.51485,0.17412,0.17478,0.07108,0.07135,0.96186,0.47447,0.47532,0.19370,0.19405,0.96186,0.47447,0.47532,0.19370,0.19405,6,24.22,0.48359,0.19742,
,5-cer1,cer1,W1N0,,0.09408,0.02375,0.02572,0.00970,0.01050,0.25468,0.08170,0.08597,0.03335,0.03510,0.25468,0.08170,0.08597,0.03335,0.03510,6,26.65,0.36096,0.14736,
,5-cer1,cer1,W1N1,,0.21132,0.10191,0.10295,0.04161,0.04203,0.36728,0.18196,0.18372,0.07429,0.07500,0.36728,0.18196,0.18372,0.07429,0.07500,6,25.49,0.68957,0.28152,
,7-gapd,gapd,W0N0,,1.00000,0.26797,0.26797,0.13398,0.13398,,,,,,,,,,,4,16.65,0.39090,0.19545,
,7-gapd,gapd,W0N1,,0.54147,0.30053,0.30056,0.10625,0.10626,,,,,,,,,,,8,17.55,0.80965,0.28625,
,7-gapd,gapd,W1N0,,0.39300,0.07979,0.07991,0.03989,0.03996,,,,,,,,,,,4,18.02,0.29616,0.14808,
,7-gapd,gapd,W1N1,,0.51088,0.04125,0.04146,0.01684,0.01692,,,,,,,,,,,6,17.63,0.11777,0.04808,
,Multiple,hho3,W0N0,,1.00000,0.41088,0.41088,0.11861,0.11861,1.00000,0.44756,0.44756,0.12920,0.12920,1.00000,0.44756,0.44756,0.12920,0.12920,12,22.82,0.56246,0.16237,
,Multiple,hho3,W0N1,,0.58805,0.29620,0.29649,0.06623,0.06630,1.09861,0.67960,0.68004,0.15196,0.15206,1.09861,0.67960,0.68004,0.15196,0.15206,20,23.55,0.68953,0.15418,
,Multiple,hho3,W1N0,,0.33076,0.16986,0.17055,0.04246,0.04264,0.89543,0.49282,0.49457,0.12320,0.12364,0.89543,0.49282,0.49457,0.12320,0.12364,16,24.34,0.70299,0.17575,
,Multiple,hho3,W1N1,,0.89024,0.36730,0.36732,0.08657,0.08658,1.54723,0.66209,0.66213,0.15606,0.15607,1.54723,0.66209,0.66213,0.15606,0.15607,18,22.98,0.56479,0.13312,
,3-nit4,nit4,W0N0,,0.73398,0.15313,0.15315,0.07656,0.07657,0.73398,0.20103,0.20104,0.10052,0.10052,0.73398,0.20103,0.20104,0.10052,0.10052,4,25.46,0.30401,0.15201,
,3-nit4,nit4,W0N1,,0.16806,0.12740,0.12743,0.05201,0.05202,0.31398,0.26337,0.26343,0.10752,0.10754,0.31398,0.26337,0.26343,0.10752,0.10754,6,27.61,1.10464,0.45097,
,3-nit4,nit4,W1N0,,1.00000,0.14343,0.14343,0.05856,0.05856,2.70720,0.66180,0.66180,0.27018,0.27018,2.70720,0.66180,0.66180,0.27018,0.27018,6,25.01,0.20901,0.08533,
,3-nit4,nit4,W1N1,,0.29375,0.27227,0.27230,0.11115,0.11116,0.51054,0.47674,0.47678,0.19463,0.19465,0.51054,0.47674,0.47678,0.19463,0.19465,6,26.80,1.35064,0.55140,
,6-nudx,nudx,W0N0,,0.66136,0.20782,0.20784,0.10391,0.10392,0.66136,0.23867,0.23868,0.11933,0.11934,0.66136,0.23867,0.23868,0.11933,0.11934,4,23.96,0.46260,0.23130,
,6-nudx,nudx,W0N1,,0.14610,0.10666,0.10670,0.04354,0.04356,0.27294,0.22206,0.22213,0.09066,0.09068,0.27294,0.22206,0.22213,0.09066,0.09068,6,26.18,1.07478,0.43878,
,6-nudx,nudx,W1N0,,1.00000,0.68784,0.68784,0.30761,0.30761,2.70720,1.93772,1.93772,0.86657,0.86657,2.70720,1.93772,1.93772,0.86657,0.86657,5,23.35,1.01264,0.45287,
,6-nudx,nudx,W1N1,,0.03073,0.02421,0.02424,0.00988,0.00989,0.05341,0.04251,0.04256,0.01735,0.01737,0.05341,0.04251,0.04256,0.01735,0.01737,6,28.48,1.15987,0.47351,
,6-pyl6,pyl6,W0N0,,0.20127,0.08978,0.08994,0.04489,0.04497,0.20127,0.09663,0.09677,0.04831,0.04839,0.20127,0.09663,0.09677,0.04831,0.04839,4,29.13,0.67217,0.33609,
,6-pyl6,pyl6,W0N1,,0.13319,0.12024,0.12032,0.04909,0.04912,0.24882,0.24176,0.24190,0.09870,0.09875,0.24882,0.24176,0.24190,0.09870,0.09875,6,29.75,1.36044,0.55540,
,6-pyl6,pyl6,W1N0,,0.62336,0.31010,0.31014,0.12660,0.12661,1.68755,0.90353,0.90362,0.36886,0.36890,1.68755,0.90353,0.90362,0.36886,0.36890,6,27.42,0.74962,0.30603,
,6-pyl6,pyl6,W1N1,,1.00000,0.28996,0.28996,0.11837,0.11837,1.73800,0.54119,0.54119,0.22094,0.22094,1.73800,0.54119,0.54119,0.22094,0.22094,6,26.71,0.43693,0.17838,
,2-roxy13,roxy13,W0N0,,0.12047,0.10677,0.10713,0.05339,0.05357,0.12047,0.10889,0.10925,0.05445,0.05462,0.12047,0.10889,0.10925,0.05445,0.05462,4,30.93,1.23516,0.61758,
,2-roxy13,roxy13,W0N1,,0.34423,0.33003,0.33027,0.13473,0.13483,0.64311,0.65840,0.65883,0.26879,0.26897,0.64311,0.65840,0.65883,0.26879,0.26897,6,29.46,1.33606,0.54544,
,2-roxy13,roxy13,W1N0,,0.00576,0.00328,0.00344,0.00134,0.00140,0.01558,0.00941,0.00980,0.00384,0.00400,0.01558,0.00941,0.00980,0.00384,0.00400,6,35.17,0.79470,0.32443,
,2-roxy13,roxy13,W1N1,,1.00000,0.57030,0.57030,0.23283,0.23283,1.73800,1.01063,1.01063,0.41259,0.41259,1.73800,1.01063,1.01063,0.41259,0.41259,6,27.98,0.79474,0.32445,
,1-roxy16,roxy16,W0N0,,0.57198,0.23822,0.23837,0.11911,0.11919,0.57198,0.25894,0.25908,0.12947,0.12954,0.57198,0.25894,0.25908,0.12947,0.12954,4,30.82,0.62227,0.31114,
,1-roxy16,roxy16,W0N1,,0.78680,0.48677,0.48679,0.21769,0.21770,1.46992,1.05149,1.05153,0.47024,0.47026,1.46992,1.05149,1.05153,0.47024,0.47026,5,30.34,0.92438,0.41340,
,1-roxy16,roxy16,W1N0,,0.05848,0.05165,0.05185,0.02109,0.02117,0.15833,0.14331,0.14382,0.05851,0.05872,0.15833,0.14331,0.14382,0.05851,0.05872,6,34.22,1.31969,0.53876,
,1-roxy16,roxy16,W1N1,,1.00000,0.46350,0.46350,0.18922,0.18922,1.73800,0.82937,0.82937,0.33859,0.33859,1.73800,0.82937,0.82937,0.33859,0.33859,6,29.98,0.69254,0.28273,
,6-roxy4,roxy4,W0N0,,0.59132,0.29638,0.29645,0.14819,0.14822,0.59132,0.31441,0.31447,0.15720,0.15724,0.59132,0.31441,0.31447,0.15720,0.15724,4,27.17,0.71649,0.35824,
,6-roxy4,roxy4,W0N1,,0.43000,0.19617,0.19631,0.08009,0.08014,0.80333,0.46640,0.46662,0.19041,0.19050,0.80333,0.46640,0.46662,0.19041,0.19050,6,27.63,0.65216,0.26624,
,6-roxy4,roxy4,W1N0,,0.25819,0.03269,0.03349,0.01335,0.01367,0.69898,0.16425,0.16542,0.06706,0.06753,0.69898,0.16425,0.16542,0.06706,0.06753,6,28.35,0.18100,0.07389,
,6-roxy4,roxy4,W1N1,,1.00000,0.32457,0.32457,0.13251,0.13251,1.73800,0.59761,0.59761,0.24398,0.24398,1.73800,0.59761,0.59761,0.24398,0.24398,6,26.42,0.46398,0.18942,
,1-roxy8,roxy8,W0N0,,0.51960,0.24934,0.24946,0.12467,0.12473,0.51960,0.26584,0.26595,0.13292,0.13298,0.51960,0.26584,0.26595,0.13292,0.13298,4,30.77,0.69458,0.34729,
,1-roxy8,roxy8,W0N1,,0.14946,0.09911,0.09931,0.04046,0.04055,0.27923,0.21056,0.21090,0.08596,0.08610,0.27923,0.21056,0.21090,0.08596,0.08610,6,32.57,0.95978,0.39183,
,1-roxy8,roxy8,W1N0,,1.00000,0.46611,0.46611,0.19029,0.19029,2.70720,1.37095,1.37095,0.55969,0.55969,2.70720,1.37095,1.37095,0.55969,0.55969,6,29.82,0.67467,0.27543,
,1-roxy8,roxy8,W1N1,,0.20104,0.10071,0.10098,0.04112,0.04122,0.34940,0.17948,0.17993,0.07327,0.07345,0.34940,0.17948,0.17993,0.07327,0.07345,6,32.14,0.72513,0.29603,
,2-tar,tar,W0N0,,0.99888,0.12872,0.12872,0.09102,0.09102,0.99888,0.21907,0.21907,0.15490,0.15490,0.99888,0.21907,0.21907,0.15490,0.15490,2,25.49,0.18424,0.13027,
,2-tar,tar,W0N1,,0.34367,0.20244,0.20256,0.08265,0.08270,0.64206,0.44295,0.44314,0.18083,0.18091,0.64206,0.44295,0.44314,0.18083,0.18091,6,27.01,0.84214,0.34380,
,2-tar,tar,W1N0,,1.00000,0.45219,0.45219,0.22609,0.22609,2.70720,1.33633,1.33633,0.66816,0.66816,2.70720,1.33633,1.33633,0.66816,0.66816,4,25.49,0.64646,0.32323,
,2-tar,tar,W1N1,,0.37026,0.09967,0.09992,0.04069,0.04079,0.64351,0.18801,0.18839,0.07675,0.07691,0.64351,0.18801,0.18839,0.07675,0.07691,6,26.91,0.38486,0.15712,
