,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,Multiple,act8,W0N0,,0.56104,0.78182,0.78185,0.34964,0.34966,,,,,,,,,,,5,20.76,2.02042,0.90356,
,Multiple,act8,W0N1,,0.96199,0.77594,0.77594,0.22399,0.22399,,,,,,,,,,,12,19.98,1.16944,0.33759,
,Multiple,act8,W1N0,,0.89261,0.25453,0.25454,0.07348,0.07348,,,,,,,,,,,12,20.09,0.41342,0.11935,
,Multiple,act8,W1N1,,1.00000,1.45118,1.45118,0.41892,0.41892,,,,,,,,,,,12,19.92,2.10400,0.60737,
,4-bor5,bor5,W0N0,,0.22771,0.08475,0.08783,0.03790,0.03928,0.37528,0.29707,0.29949,0.13285,0.13394,0.37528,0.29707,0.29949,0.13285,0.13394,5,31.45,0.65758,0.29408,
,4-bor5,bor5,W0N1,,0.19558,0.04719,0.05199,0.01926,0.02123,0.19940,0.13540,0.13722,0.05528,0.05602,0.19940,0.13540,0.13722,0.05528,0.05602,6,31.72,0.42626,0.17402,
,4-bor5,bor5,W1N0,,1.00000,0.78283,0.78283,0.31959,0.31959,1.81468,1.46191,1.46191,0.59682,0.59682,1.81468,1.46191,1.46191,0.59682,0.59682,6,28.83,1.38308,0.56464,
,4-bor5,bor5,W1N1,,0.11893,0.06534,0.06760,0.02667,0.02760,0.13612,0.16174,0.16295,0.06603,0.06652,0.13612,0.16174,0.16295,0.06603,0.06652,6,32.60,0.97064,0.39626,
,5-cepd2,cepd2,W0N0,,0.95452,0.26264,0.26264,0.18572,0.18572,1.57309,1.18118,1.18119,0.83522,0.83522,1.57309,1.18118,1.18119,0.83522,0.83522,2,22.50,0.39653,0.28039,
,5-cepd2,cepd2,W0N1,,0.18892,0.11088,0.11103,0.04527,0.04533,0.19261,0.16652,0.16662,0.06798,0.06802,0.19261,0.16652,0.16662,0.06798,0.06802,6,24.84,0.84585,0.34532,
,5-cepd2,cepd2,W1N0,,1.00000,1.09376,1.09376,0.44653,0.44653,1.81468,2.01461,2.01461,0.82246,0.82246,1.81468,2.01461,2.01461,0.82246,0.82246,6,22.44,1.57623,0.64349,
,5-cepd2,cepd2,W1N1,,0.03889,0.07613,0.07616,0.03108,0.03109,0.04452,0.09895,0.09898,0.04040,0.04041,0.04452,0.09895,0.09898,0.04040,0.04041,6,27.11,2.82058,1.15150,
,5-cer1,cer1,W0N0,,0.97510,0.06420,0.06421,0.04540,0.04540,1.60701,1.12769,1.12769,0.79740,0.79740,1.60701,1.12769,1.12769,0.79740,0.79740,2,22.22,0.09286,0.06566,
,5-cer1,cer1,W0N1,,1.00000,0.88774,0.88774,0.36242,0.36242,1.01956,1.11267,1.11267,0.45424,0.45424,1.01956,1.11267,1.11267,0.45424,0.45424,6,22.18,1.25199,0.51112,
,5-cer1,cer1,W1N0,,0.25765,0.02976,0.03077,0.01215,0.01256,0.46755,0.10404,0.10500,0.04247,0.04286,0.46755,0.10404,0.10500,0.04247,0.04286,6,24.09,0.16291,0.06651,
,5-cer1,cer1,W1N1,,0.56109,0.58016,0.58021,0.23685,0.23687,0.64218,0.94800,0.94803,0.38702,0.38703,0.64218,0.94800,0.94803,0.38702,0.38703,6,23.00,1.45826,0.59533,
,Multiple,gapd,W0N0,,0.65625,0.06704,0.06731,0.03870,0.03886,,,,,,,,,,,3,17.01,0.14284,0.08247,
,Multiple,gapd,W0N1,,1.00000,0.98031,0.98031,0.34659,0.34659,,,,,,,,,,,8,16.42,1.37081,0.48465,
,Multiple,gapd,W1N0,,0.34020,0.08564,0.08602,0.02855,0.02867,,,,,,,,,,,9,17.93,0.35200,0.11733,
,8-gapd,gapd,W1N1,,0.76340,1.16636,1.16637,0.47616,0.47617,,,,,,,,,,,6,16.80,2.13646,0.87221,
