"","Target","BiologicalGroup","MeanCq","CqSD","CqSEM","Geno","geneID","Cond","deltaCT","deltaCon","meanSEM","reference","meanExpression","geneSymbol"
"1","act8","W0N0",18.35,0.73026,0.18855,"Bur-0","AT1G49240","W-N-",0.954999999999998,0.745000000000001,0.18855,"ref",0.864537231307867,"ACT8,FIZ1"
"2","act8","W0N1",18.96,1.35224,0.31873,"Bur-0","AT1G49240","W-N+",0.91,0.745000000000001,0.31873,"ref",0.891928519420093,"ACT8,FIZ1"
"3","act8","W1N0",18.19,0.89006,0.26836,"Bur-0","AT1G49240","W+N-",0.82,0.745000000000001,0.26836,"ref",0.94934212095052,"ACT8,FIZ1"
"4","act8","W1N1",17.63,0.48157,0.11351,"Bur-0","AT1G49240","W+N+",0.745000000000001,0.745000000000001,0.11351,"ref",1,"ACT8,FIZ1"
"5","bor5","W0N0",32.93,0.48185,0.19672,"Bur-0","AT1G74810","W-N-",15.535,16.665,0.19672,"ref",2.18858740252148,"BOR5"
"6","bor5","W0N1",33.83,1.21914,0.49771,"Bur-0","AT1G74810","W-N+",15.78,16.665,0.49771,"ref",1.84676462145879,"BOR5"
"7","bor5","W1N0",31.33,0.82335,0.41167,"Bur-0","AT1G74810","W+N-",13.96,16.665,0.41167,"ref",6.52057865922101,"BOR5"
"8","bor5","W1N1",33.55,0.78982,0.32244,"Bur-0","AT1G74810","W+N+",16.665,16.665,0.32244,"ref",1,"BOR5"
"9","cepd2","W0N0",31.34,3.18258,1.06086,"Bur-0","AT2G47880","W-N-",13.945,19.375,1.06086,"ref",43.1114744597022,"CEPD2,ROXY9"
"10","cepd2","W0N1",36.93,1.36607,0.45536,"Bur-0","AT2G47880","W-N+",18.88,19.375,0.45536,"ref",1.40932075514202,"CEPD2,ROXY9"
"11","cepd2","W1N0",29.83,4.87399,1.46956,"Bur-0","AT2G47880","W+N-",12.46,19.375,1.46956,"ref",120.676420597535,"CEPD2,ROXY9"
"12","cepd2","W1N1",36.26,2.4943,0.94276,"Bur-0","AT2G47880","W+N+",19.375,19.375,0.94276,"ref",1,"CEPD2,ROXY9"
"13","cer1","W0N0",25.72,0.37643,0.16835,"Bur-0","AT1G02205","W-N-",8.325,7.035,0.16835,"ref",0.408951029278893,"CER1,CER22"
"14","cer1","W0N1",23.12,0.70382,0.28733,"Bur-0","AT1G02205","W-N+",5.07,7.035,0.28733,"ref",3.90412704310491,"CER1,CER22"
"15","cer1","W1N0",27.47,1.24831,0.50962,"Bur-0","AT1G02205","W+N-",10.1,7.035,0.50962,"ref",0.119493164699218,"CER1,CER22"
"16","cer1","W1N1",23.92,0.46417,0.1895,"Bur-0","AT1G02205","W+N+",7.035,7.035,0.1895,"ref",1,"CER1,CER22"
"17","gapd","W0N0",16.44,0.53674,0.21912,"Bur-0","AT1G16300","W-N-",-0.955000000000002,-0.744999999999997,0.21912,"ref",1.15668818390529,"GAPCP-2"
"18","gapd","W0N1",17.14,1.45981,0.59597,"Bur-0","AT1G16300","W-N+",-0.91,-0.744999999999997,0.59597,"ref",1.12116607802851,"GAPCP-2"
"19","gapd","W1N0",16.55,1.39665,0.69833,"Bur-0","AT1G16300","W+N-",-0.82,-0.744999999999997,0.69833,"ref",1.05336103595484,"GAPCP-2"
"20","gapd","W1N1",16.14,0.57826,0.23607,"Bur-0","AT1G16300","W+N+",-0.744999999999997,-0.744999999999997,0.23607,"ref",1,"GAPCP-2"
"21","nit4","W0N0",26.64,0.41724,0.20862,"Bur-0","AT5G22300","W-N-",9.245,11.785,0.20862,"ref",5.81589006928127,"AtNIT4,NIT4"
"22","nit4","W0N1",29.53,2.09492,0.85525,"Bur-0","AT5G22300","W-N+",11.48,11.785,0.85525,"ref",1.23541863712693,"AtNIT4,NIT4"
"23","nit4","W1N0",23.91,0.37205,0.18602,"Bur-0","AT5G22300","W+N-",6.54,11.785,0.18602,"ref",37.9229686701308,"AtNIT4,NIT4"
"24","nit4","W1N1",28.67,1.2176,0.49708,"Bur-0","AT5G22300","W+N+",11.785,11.785,0.49708,"ref",1,"AtNIT4,NIT4"
